english,engtrans,arabic,hindi,urdu,cue
"You showed me the way to You","wa anta dalaltanee `alayka","وَانْتَ دَلَلْتَنِي عَلَيْكَ",""," تونے اپنی طرف میری رہنمائی کی ",""
"and invited me to come towards You.","wa da`awtanee ilakya","وَدَعَوْتَنِي إِلَيْكَ","","",""
"Had it been not for You, I would have never known who You are.","wa lawla anta lam adri ma anta","وَلَوْلا انْتَ لَمْ ادْرِ مَا انْتَ","","اور مجھے نہ بلاتا تو میں سمجھ ہی نہ سک کہ تو کون ہے،",""
"All praise be to Allah alone Who gives answer to me whenever I pray Him","alhamdu lillahi alladhee adeehu fayujeebunee","الْحَمْدُ لِلَّهِ ٱلَّذِي ادْعُوهُ فَيُجِيبُنِي",""," حمد ہے اس خدا کے لئے جسے پکارتا ہوں تو جواب دیتا ہے",""
"although I am slow whenever He invites me.","wa in kuntu batee'an heena yadeenee","وَإِنْ كُنْتُ بَطِيئاً حِينَ يَدْعُونِي",""," اگرچہ جب وہ مجھے پکارے تو میں سستی کرتا ہوں،",""
"All praise be to Allah alone Who gives me whenever I ask Him","walhamdu lillahi alladhee as'aluhu fayu`teenee","وَالْحَمْدُ لِلَّهِ ٱلَّذِي اسْالُهُ فَيُعْطِينِي",""," حمد ہے اس الله کیلئے کے جس سے مانگتا ہوں تو مجھے عطا کرتا ہے",""
"although I become close-fisted when He asks me.","wa in kuntu bakheelan heena yastaqriunee","وَإِنْ كُنْتُ بَخِيلاً حِينَ يَسْتَقْرِضُنِي",""," اگرچہ وو مجھ سے قرض کا طالب ہو تو کنجوسی کرتا ہوں،",""
"All praise be to Allah alone Whom I call whenever I need something","walhamdu lillahi alladhee unadeehi kullama shi'tu lihajatee","وَالْحَمْدُ لِلَّهِ ٱلَّذِي انَادِيهِ كُلَّمَا شِئْتُ لِحَاجَتِي",""," حمد ہے اس الله کیلئے کہ جب چاہوں اسے اپنی حاجت کیلئے پکارتا ہوں",""
"and Whom I secretly converse whenever I want without need for an intercessor;","wa akhlu bihee haythu shi'tu lisirree bighayri shafee`in","وَاخْلُو بِهِ حَيْثُ شِئْتُ لِسِرِّي بِغَيْرِ شَفِيعٍ",""," اور جب چاہوں تنہائی میں بغیر کسی سفارش کے اس سے راز و نیاز کرتا ہوں",""
"He thus grants my need.","fayaqee lee hajatee","فَيَقْضِي لِي حَاجَتِي",""," تو وہ میری حاجت پوری کرتا ہے",""
"All praise be to Allah alone other than Whom I never pray,","alhamdu lillahi alladhee la adee ghayrahu","الْحَمْدُ لِلَّهِ ٱلَّذِي لاَ ادْعُو غَيْرَهُ","","حمد ہے اس الله کیلئے کہ جس کے سوا میں کسی کو نہیں پکارتا",""
"and even if I pray anyone else, he shall never be able to respond to my prayer.","wa law da`awtu ghayrahu lam yastajib lee du`a'ee","وَلَوْ دَعَوْتُ غَيْرَهُ لَمْ يَسْتَجِبْ لِي دُعَائِي",""," اور اگر اس کے غیر سے دعاء کروں تو وہ میری دعا قبول نہیں کرسکتا",""
"All praise be to Allah alone for other than Whom I do not hope,","walhamdu lillahi alladhee la arju ghayrahu","وَالْحَمْدُ لِلَّهِ ٱلَّذِي لاَ ارْجُو غَيْرَهُ","","حمد ہے اس الله کیلئے جس کے غیر سے میں امید نہیں رکھتا",""
"and even if I hope for anyone else, he shall certainly disappoint me.","wa law rajawtu ghayrahu la'akhlafa raja'ee","وَلَوْ رَجَوْتُ غَيْرَهُ َلاخْلَفَ رَجَائِي","","اور اگر امید رکھوں بھی تو وہ میری امید پوری نہ کریگا",""
"All praise be to Allah alone Who has accepted me to depend upon Him and, thus, bestowed favors upon me.","walhamdu lillahi alladhee wakalanee ilayhi fa akramanee","وَالْحَمْدُ لِلَّهِ ٱلَّذِي وَكَلَنِي إِلَيْهِ فَاكْرَمَنِي","","حمد ہے اس الله کیلئے جس نے اپنی سپردگی میں لیکر مجھے عزت دی",""
"He has not left me to people who will have definitely humiliated me.","wa lam yakilnee ila alnnasi fayuheenunee","وَلَمْ يَكِلْنِي إِلَىٰ ٱلنَّاسِ فَيُهِينُونِي",""," اور مجھے لوگوں کے سپرد نہ کیا کہ مجھے ذلیل کرتے",""
"All praise be to Allah alone Who has sought my friendship","walhamdu lillahi alladhee tahabbaba ilayya","وَالْحَمْدُ لِلَّهِ ٱلَّذِي تَحَبَّبَ إِلَيَّ","","حمد ہے اس الله کیلئے جو مجھ سے محبّت کرتا ہے",""
"while He can dispense with me.","wa huwa ghaniyyun `annee","وَهُوَ غَنِيٌّ عَنِّي",""," اگرچہ وہ مجھ سے بے نیاز ہے",""
"All praise be to Allah alone Who showed Himself gentle and considerate towards me","walhamdu lillahi alladhee yahlumu `annee","وَالْحَمْدُ لِلَّهِ ٱلَّذِي يَحْلُمُ عَنِّي","","حمد ہے اس الله کیلئے جو مجھ سے اتنی نرمی کرتا ہے",""
"as if I have not sinned.","hatta ka'annee la dhanba lee","حَتَّىٰ كَانِّي لاَ ذَنْبَ لِي","","جیسے میں نے کوئی گناہ نہ کیا ہو",""
"Accordingly, my Lord is the only One Whom I should thank","fa rabbee ahmadu shay'in `indee"," فَرَبِّي احْمَدُ شَيْءٍ عِنْدِي","","پس میرا رب میرے نزدیک ہر شے سے زیادہ قابل تعریف ہے",""
"and He is the worthiest of being thanked by me.","wa ahaqqu bihamdee","وَاحَقُّ بِحَمْدِي","","اور وہ میری حمد کا زیادہ حقدار ہے",""
"O Allah, I find the courses to asking from You wide open,","allahumma innee ajidu subula almatalibi ilayka mushra`atan","اَللَّهُمَّ إِنِّي اجِدُ سُبُلَ ٱلْمَطَالِبِ إِلَيْكَ مُشْرَعَةً","","اے معبود میں اپنے مقاصد کی راہیں تیری طرف کھلی ہوئی پاتا ہوں",""
"the springs to hoping for You overflowing,","wa manahila alrraja'i ladayka mutra`atan","وَمَنَاهِلَ ٱلرَّجَاءِ لَدَيْكَ مُتْرَعَةً","","اور امیدوں کے چشمے تیرے ہاں بھرے پڑے ہیں",""
"seeking the help of Your favors reachable for them who have hopefully looked forward to You,","walisti`anata bifalika liman ammalaka mubahatan","وَٱلاِسْتِعَانَةَ بِفَضْلِكَ لِمَنْ امَّلَكَ مُبَاحَةً",""," ہر امیدوار کے لئے تیرے فضل سے مدد چاہنا آزاد و روا ہے",""
"and the doors of praying You vulnerable for them who cry to You.","wa abwaba alddu`a'i ilayka lil¥¥arikheena maftuhatan","وَابْوَابَ ٱلدُّعَاءِ إِلَيْكَ لِلصَّارِخِينَ مَفْتُوحَةً","","اور فریاد کرنے والوں کی دعاؤں کیلئے تیرے دروازے کھلے ہیں",""
"I know for sure that You give favorable reply to the petitioners","wa a`lamu annaka lilrrajeena bimawi`i ijabatin","وَاعْلَمُ انَّكَ لِلرَّاجِين بِمَوْضِعِ إِجَابَةٍ","","اور میں جانتا ہوں کہ تو امیدوار کی جائے قبولیت ہے",""
"and relentlessly succor the aggrieved;","wa lilmalhufeena bimar¥adi ighathatin","وَلِلْمَلْهُوفِينَ بِمَرْصَدِ إِغَاثَةٍ","","تو مصیبت زدوں کیلئے فریادرسی کی جگہ ہے",""
"and to long for Your beneficence","wa anna fee allahfi ila judika","وَانَّ فِي ٱللَّهْفِ إِلَىٰ جُودِكَ","","میں جانتا ہوں کہ تیری سخاوت کی پناہ لینا",""
"and to accept Your will and judgment","wa alrria biqaa'ika","وَٱلرِّضَا بِقَضَائِكَ","","اور تیرے فیصلے پر رازی رہنا ",""
"are well compensations for that which the close-fisted misers deny","`iwaan min man`i albakhileena","عِوَضاً مِنْ مَنْعِ ٱلْبَاخِلِينَ","","کنجوسوں کی روک ٹوک سے بچنے اور",""
"and alternative to that which is possessed by the stingy.","wa manduhatan `amma fee aydee almusta'thireena","وَمَنْدُوحَةً عَمَّا فِي ايْدِي ٱلْمُسْتَاثِرِينَ","","خودغرض مالداروں سے محفوظ رہنے کا ذریعہ ہے",""
"He who travels towards You will easily reach his destination.","wa anna alrrahila ilayka qareebu almasafati","وَانِّ ٱلرَّاحِـلَ إِلَيْكَ قَرِيبُ ٱلْمَسَافَةِ",,,
"You do not conceal Yourself against Your creatures","wa annaka la tahtajibu `an khalqika","وَانَّكَ لاَ تَحْتَجِبُ عَنْ خَلْقِكَ",,,
"unless their evildoings stand between them and You.","illa an tahjibahum al-a`malu dunaka","إِلاَّ انْ تَحْجُبَهُمُ ٱلاعْمَالُ دُونَكَ",,,
"I am thus turning to You carrying my appeals","wa qad qa¥adtu ilayka bitalibatee","وَقَدْ قَصَدْتُ إِلَيْكَ بِطَلِبَتِي","","میں اپنی طلب لیکر تیری بارگاہ میں آیا",""
"and directing towards You carrying my needs.","wa tawajjahtu ilayka bihajatee","وَتَوَجَّهْتُ إِلَيْكَ بِحَاجَتِي","","اور اپنی حاجت کے ساتھ تیری طرف متوجہ ہوا ہوں",""
"I have sought the help of You alone","wa ja`altu bika istighathatee","وَجَعَلْتُ بِكَ ٱسْتِغَاثَتِي","","میری فریاد تیرے حضور میں ہے",""
"and begging You through my prayer","wa bidu`a'ika tawassulee","وَبِدُعَائِكَ تَوَسُّلِي","","میری ذات کا وسیلہ تیری ہی ذات ہے",""
"although I do not deserve to be observed by You","min ghayri istihqaqin listima`ika minnee","مِنْ غَيْرِ ٱسْتِحْقَاقٍ لاﹾِسْتِمَاعِكَ مِنِّي","","جبکہ میں اسکا حقدار نہیں کہ تو میری سنے",""
"or to be pardoned by You.","wa la isteejabin li`afwika `annee","وَلاَ ٱسْتِيجَابٍ لِعَفْوِكَ عَنِّي","","اور نہ اس قابل ہوں کہ تو مجھے معاف کرے",""
"Rather, I have full confidence in Your generosity,","bal lithiqatee bikaramika","بَلْ لِثِقَتِي بِكَرَمِكَ","","البتہ مجھے تیرے کرم پر بھروسہ",""
"I have relied upon the truthfulness of Your promise,","wa sukunee ila ¥idqi wa`dika","وَسُكُونِي إِلَىٰ صِدْقِ وَعْدِكَ","","اور تیرے سچے وعدے پر اعتماد ہے",""
"I have sought shelter with my faith in Your Oneness","wa laja'ee ila al-eemani bitawheedika","وَلَجَائِي إِلَىٰ ٱلإِيـمَانِ بِتَوْحِيدِكَ","","تیری توحید پر امان میری پکّی سچی پناہ ہے",""
"and my certitude in the fact -which you know-","wa yaqeenee bima`rifatika minnee","وَيَقِينِي بِمَعْرِفَتِكَ مِنِّي","","اور تیرے بارے میں مجھے اپنی مغفرت پر یقین ہے",""
"that I have no Lord other than You","an la rabba lee ghayruka","انْ لاَ رَبَّ لِي غَيْرُكَ",""," تیرے سوا میرا کوئی پالنے والا نہیں",""
"and there is no god save You","wa la ilaha illa anta","وَلاَ إِلٰهَ إِلاَّ انْتَ","","اور تو ہی صرف معبود ہے",""
"alone, without having any partner.","wahdaka la shareeka laka","وَحْدَكَ لاَ شَرِيكَ لَكَ","","یگانہ ,تیرا کوئی شریک نہیں",""
"O Allah, It is You Who have said, and Your sayings are always true","allahumma anta alqa'ilu wa qawluka haqqun","اَللَّهُمَّ انْتَ ٱلْقَائِلُ وَقَوْلُكَ حَقٌّ","","اے معبود! یہ تیرا فرمان ہے اور تیرا کہنا درست ",""
"and Your promise is always valid:","wa wa`duka ¥idqun","وَوَعْدُكَ صِدْقٌ:","","اور تیرا وعدہ سچا ہے",""
"“Ask Allah of His bounty.","was'alu alllaha min falihee","”وَٱسْالُوٱ ٱللَّهَ مِنْ فَضْلِهِ","","کہ الله سے اس کا فضل مانگو،",""
"Verily Allah is ever Merciful to you.”","inna allaha kana bikum raheeman","إِنَّ ٱللَّهَ كَانَ بِكُلِّ شَيْءٍ عَلِيماً“","","بے شک الله تم پر بڑا مہربان ہے",""
"It is not Your habit, O my Chief,","wa laysa min ¥ifatika ya sayyidee","وَلَيْسَ مِنْ صِفَاتِكَ يَا سَيِّدِي","","اور اے میرے سردار! یہ بات تیری شان سے بعید ہے کہ",""
"that You instruct us to implore You and then You stop giving us,","an ta'mura bissu'ali wa tamna`a al`atiyyata","انْ تَامُرَ بِٱلسُّؤَالِ وَتَمْنَعَ ٱلْعَطِيَّةَ","","تو مانگنے کا حکم دے تو عطا نہ فرمایے",""
"while You are the All-benefactor Who confers upon the people of Your Kingdom with (innumerable) donations","wa anta almannanu bil`atiyyati `ala ahli mamlakatika","وَانْتَ ٱلْمَنَّانُ بِٱلْعَطِيَّاتِ عَلَىٰ اهْلِ مَمْلَكَتِكَ","","تو اپنی مملکت کے باشندوں کو بہت عطا کرنے والا ہے",""
"and You are the All-generous Who meets them with the kindness of Your compassion.","wal`a'idu `alayhim bitahannuni ra'fatika","وَٱلْعَائِدُ عَلَيْهِمْ بِتَحَنُّنِ رَافَتِكَ","","اور اپنی مہربانی و نرمی سے انکی طرف متوجہ ہے",""
"O my God, You brought me up amid Your bounties and favors when I was little","ilahee rabbaytanee fee ni`amika wa ihsanika ¥agheeran","إِلٰهِي رَبَّيْتَنِي فِي نِعَمِكَ وَإِحْسَانِكَ صَغِيراً","","اے الله جب میں بچہ تھا تونے مجھے اپنی نعمت اور احسان کے ساتھ پالا ",""
"and You have mentioned me when I have grown up.","wa nawwahta bismee kabeeran","وَنَوَّهْتَ بِٱسْمِي كَبِيراً","","اور جب میں بڑا ہوا تو مجھے شہرت عطا کی، ",""
"So, O He Who brought me up in this world with His bounties,","faya man rabbanee fee alddunya bi'ihsanihee"," فَيَا مَنْ رَبَّانِي فِي ٱلدُّنْيَا بِإِحْسَانِهِ","","پس اے وہ ذات جسنے دنیا میں مجھے احسان ",""
"favors, and graces,","wa tafaulihee wa ni`amihee","وَتَفَضُّلِهِ وَنِعَمِهِ","","نعمت اور عطا سے پالا",""
"and, in the Hereafter, will have referred to me with His amnesty and generosity!","wa ashara lee fee al-akhirati ila `afwihee wa karamihee","وَاشَارَ لِي فِي ٱلآخِرَةِ إِلَىٰ عَفْوِهِ وَكَرَمِهِ","","اور آخرت میں مجھے اپنے عفو و کرم کا اشارہ دیا ہے",""
"My acquaintance with You, O my Lord, is the path taking me to You","ma`rifatee ya mawlaya daleelee `alayka","مَعْرِفَتِي يَا مَوْلاَيَ دَلِيلِي عَلَيْكَ","","اے میرے مولا میری مغفرت ہی تیری طرف",""
"and my love for You is the intermediary between You and me.","wa hubbee laka shafee`ee ilayka","وَحُبِّي لَكَ شَفِيعِي إِلَيْكَ","","میری تجھ سے محبّت تیری سامنے میری سفارش ہے",""
"I am sure of the path to which You have lead me","wa ana wathiqun min daleelee bidalalatika","وَانَا وَاثِقٌ مِنْ دَلِيلِي بِدَلاَلَتِكَ","","اور مجھے تیری طرف  لے جانے والے اپنے اس رہبر پر بھروسہ",""
"and I rely upon my intermediary’s success before You.","wa sakinun min shafee`ee ila shafa`atika","وَسَاكِنٌ مِنْ شَفِيعِي إِلَىٰ شَفَاعَتِكَ","","اور تیرے حضور شفاعت کرنے والے اپنے شفیع پر اطمینان ہے",""
"I pray You, O my Chief, with a tongue muted by its sins.","adeeka ya sayyidee bilisanin qad akhrasahu dhanbuhu","ادْعُوكَ يَا سَيِّدِي بِلِسَانٍ قَدْ اخْرَسَهُ ذَنْبُهُ","","اے میرے سردار! میں تجھے اس زبان سے پکارتا ہوں جو بوجہ گناہ کے لکنت کرتی ہے",""
"O Lord! I confidentially speak to You with a heart degraded by its offenses.","rabbi unajeeka biqalbin qad awbaqahu jurmuhu","رَبِّ انَاجِيكَ بِقَلْبٍ قَدْ اوْبَقَهُ جُرْمُهُ","","پالنے والے میں اس دل سے راز گوئی کرتا ہوں جسے اس کے جرم نے تباہ کر دیا",""
"I pray You, O Lord, with terror, desire,","adeeka ya rabbi rahiban raghiban","ادْعُوكَ يَا رَبِّ رَاهِباً رَاغِباً","","اے پالنے والے! میں تجھے پکارتا ہوں لیکن سہما ہوا ڈرا ہوا",""
"hope, and fear.","rajiyan kha'ifan","رَاجِياً خَائِفاً","","چاہتا ہوا امید رکھتا ہوا",""
"Whenever I think of my sins, O my Master, I panic,","idha ra'aytu mawlaya dhunubee fazi`tu","إِذَا رَايْتُ مَوْلاَيَ ذُنُوبِي فَزِعْتُ",""," اے میرے مولا!جب میں اپنے گناہوں کو دیکھتا ہوں تو گھبراتا ہوں",""
"but when I think of Your generosity, I feel desirous (for Your pardon).","wa idha ra'aytu karamaka tami`tu","وَإِذَا رَايْتُ كَرَمَكَ طَمِعْتُ","","اور تیرے کرم پر نگاہ ڈالتا ہوں تو آرزو بڑھتی ہے",""
"Therefore, if You forgive me, You are already the best of those who show mercy,","fa'in `afawta fakhayru rahimin","فَإِنْ عَفَوْتَ فَخَيْرُ رَاحِمٍ","","پس اگر تو مجھے معاف کرے تو، تو بہترین راہم کرنے والا ہے",""
"and If You punish me, You are then not wronging me.","wa'in `adhdhabta faghayru ¨alimin","وَإِنْ عَذَّبْتَ فَغَيْرُ ظَالِمٍ","","اور عذاب دے بھی تو ظلم کرنے والا نہیں",""
"Yet, it is Your munificence and Your generosity, O Allah, that gave me the courage to pray You,","hujjatee ya allahu fee jur'atee `ala mas'alatika","حُجَّتِي يَا اللَّهُ فِي جُرْاتِي عَلَىٰ مَسْالَتِكَ","","اے الله !  تجھ سے سوال کرنے کی جرأت میں تیرے جود و کرم ہی میری حجت ہے",""
"despite that I have committed things that You dislike.","ma`a ityanee ma takrahu juduka wa karamuka","مَعَ إِتْيَانِي مَا تَكْرَهُ جُودُكَ وَكَرَمُكَ","","جو کام تجھے ناپسند ہیں وو انجام دینے کے باوجود",""
"It is Your kindness and mercy that I use as my means during misfortunes inflicting me despite my shamelessness.","wa `uddatee fee shiddatee ma`a qillati haya'ee ra'fatuka wa rahmatuka","وَعُدَّتِي فِي شِدَّتِي مَعَ قِلَّةِ حَيَائِي رَافَتُكَ وَرَحْمَتُكَ","","اور حیاء کی کمی کے باوجود سختی کے وقت میں میرا سہارا تیری ہی مہربانی و نرم روی ہے",""
"I thus hope that my expectation will not be disappointed amid these two matters.","wa qad rajawtu an la takheeba bayna dhayni wa dhayni munyatee","وَقَدْ رَجَوْتُ انْ لاَ تَخِيبَ بَيْنَ ذَيْنِ وَذَيْنِ مُنْيَتِي","","اور میں امید رکھتا ہوں کہ ایسی ویسی باتوں کے ہوتے ہوئے بھی تو مجھے مایوس نہ کریگا",""
"So, make my hopes become real","fahaqqiq raja'ee","فَحَقِّقْ رَجَائِي","","پس میری امید بر لا-",""
"and answer my prayers.","wasma` du`a'ee","وَٱسْمَعْ دُعَائِي",""," اور میری دعاء سن لے",""
"O Greatest Besought One that has been ever besought,","ya khayra man da`ahu da`in","يَا خَيْرَ مَنْ دَعَاهُ دَاعٍ","","اے پکارے جانے والوں میں سب سے بہتر",""
"and the Most Favorable Hoped One!","wa afala man rajahu rajin","وَافْضَلَ مَنْ رَجَاهُ رَاجٍ","","اور جن سے امید کی جا سکتی ہیں ان میں سب سے بلند تر",""
"My expectation, O my Chief, has been great but my deed has been bad.","`a¨uma ya sayyidee amalee wa sa'a `amalee","عَظُمَ يَا سَيِّدِي امَلِي وَسَاءَ عَمَلِي","","اے میرے آقا!میری آرزو بڑی اور میرا عمل براہے",""
"So, grant me Your pardon as much as my expectation,","fa'a`tinee min `afwika bimiqdari amalee","فَاعْطِنِي مِنْ عَفْوِكَ بِمِقْدَارِ امَلِي","","پس اپنے عفو سے کام لیکر میری آرزو پوری فرما",""
"and do not punish me for the worst of my deed.","wa la tu'akhidhnee bi'aswa'i `amalee","وَلاَ تُؤَاخِذْنِي بِاسْوَءِ عَمَلِي","","اور برے عمل پر میری گرفت نہ کر",""
"Verily, Your generosity is too great to be compared to the penalty of the guilty,","fa'inna karamaka yajillu `an mujazati almudhnibeena","فَإِنَّ كَرَمَكَ يَجِلُّ عَنْ مُجَازَاةِ ٱلْمُذْنِبِينَ","","کیونکہ تیرا کرم گنہگاروں کی سزاؤں  سے بہت بلند و بالا ہے",""
"and Your tolerance is too immense to be compared to the punishment of the negligent.","wa hilmaka yakburu `an mukafa'ati almuqa¥¥ireena","وَحِلْمَكَ يَكْبُرُ عَنْ مُكَافَاةِ ٱلْمُقَصِّرِينَ","","اور تیرا حلم کوتاہی کرنے والوں کی سزاؤں سے عظیم تر ہے",""
"I, O my Chief, am seeking refuge with Your benevolence,","wa ana ya sayyidee `a'idhun bifalika","وَانَا يَا سَيِّدِي عَائِذٌ بِفَضْلِكَ","","اور اے میرے سردار! میں  تیرے فضل کی پناہ لیتا ہوں",""
"fleeing from You towards You,","haribun minka ilayka","هَارِبٌ مِنْكَ إِلَيْكَ","","تیرے خوف سے بھاگ کر",""
"hoping for the amnesty that You have promised to confer upon one who keeps good idea about You.","mutanajjizun ma wa`adta min al¥¥afhi `amman ahsana bika ¨annan","مُتَنَجِّزٌ مَا وَعَدْتَ مِنَ ٱلصَّفْحِ عَمَّنْ احْسَنَ بِكَ ظَنّاً","","میں چاہتا ہوں کہ جسنے تجھ سے اچھا گمان رکھا ہے اس سے دار گزر کا وعدہ پورا فرما",""
"What am I? O Lord! What importance do I have?","wa ma ana ya rabbi wa ma khataree","وَمَا انَا يَا رَبِّ وَمَا خَطَرِي","","اور اے میرے پروردگار! میں کیا اور میری اوقات کیا",""
"Do me a favor out of Your benevolence","habnee bifalika","هَبْنِي بِفَضْلِكَ","","تو ہی اپنے فضل سے مجھے بخش دے",""
"and be charitable to me by means of pardoning me.","wa ta¥addaq `alayya bi`afwika","وَتَصَدَّقْ عَلَيَّ بِعَفْوِكَ","","اور اپنے عفو سے مجھ پر  عنایت فرما",""
"O my Lord! Cover me with Your protective covering","ay rabbi jallilnee bisitrika","ايْ رَبِّ جَلِّلْنِي بِسِتْرِكَ",""," اے میرے رب! مجھے اپنی پردہ پوشی سے ڈھانپ",""
"and overlook reproaching me out of the generosity of Your Face.","wa`fu `an tawbeekhee bikarami wajhika","وَٱعْفُ عَنْ تَوْبِيخِي بِكَرَمِ وَجْهِكَ","","اور اپنے خاص کرم سے میری سرزنش ٹال دے",""
"In fact, if anyone other than You has watched me while committing these sins, I may not commit them.","falaw ittala`a alyawma `ala dhanbee ghayruka ma fa`altuhu","فَلَوِ ٱطَّلَعَ ٱلْيَوْمَ عَلَىٰ ذَنْبِي غَيْرُكَ مَا فَعَلْتُهُ","","اگر آج تیرے سوا کوئی دوسرا میرے گناہ کو جان لیتا تو میں یہ کبھی  نہ کرتا",""
"Had I anticipated immediateness of punishment, I might have avoided doing them.","wa law khiftu ta`jeela al`uqubati lajtanabtuhu","وَلَوْ خِفْتُ تَعْجِيلَ ٱلْعُقُوبَةِ لاﹾجْتَنَبْتُهُ","","اور اگر مجھے جلد از جلد سزا ملنے کا خوف ہوتا تو ضرور گناہ سے دور رہتا",""
"Yet, this does not mean that You are the least important of those who watch over me","la li'annaka ahwanu alnna¨ireena ilayya","لاَ لانَّكَ اهْوَنُ ٱلنَّاظِرِينَ إِلَيَّ","","لیکن اسکی وجہ یہ نہیں کہ تو دیکھنے والوں میں کمتر",""
"or You are the least weighty of those who observe me.","wa akhaffu almuttali`eena `alayya","وَاخَفُّ ٱلْمُطَّلِعِينَ عَلَيَّ","","اور جاننے والوں میں کم رتبہ ہے",""
"Rather, this is because You, O my Lord, are the best of those who cover up (one’s defects),","bal li'annaka ya rabbi khayru alssatireena","بَلْ لانَّكَ يَا رَبِّ خَيْرُ ٱلسَّاتِرِينَ","","بلکہ اسکی وجہ یہ ہے اے پروردگار کہ تو بہترین پردہ پوش",""
"the wisest of those who judge,","wa ahkamu alhakimeena","وَاحْكَمُ ٱلْحَاكِمِينَ","","سب سے بڑا حاکم",""
"the most generous of those who act generously,","wa akramu al-akrameena","وَاكْرَمُ ٱلاكْرَمِينَ","","اور سب سے زیادہ کرم کرنے والا",""
"the concealer of defects,","sattaru al`uyubi","سَتَّارُ ٱلْعُيُوبِ","","عیبوں کو ڈھانپنے والا،",""
"the Forgiver of sins,","ghaffaru aldhdhunubi","غَفَّارُ ٱلذُّنُوبِ","","گناہوں کو معاف کرنے والا",""
"and the Knower of the unseen.","`allamu alghuyubi","عَلاَّمُ ٱلْغُيُوبِ","","چھپی باتوں کا جاننے والا ہے",""
"You conceal the defects out of Your liberality","tasturu aldhdhanba bikaramika","تَسْتُرُ ٱلذَّنْبَ بِكَرَمِكَ","","تو اپنے کرم سے گناہ کو ڈھانپتا",""
"and put off punishment because of Your forbearance.","wa tu'akhkhiru al`uqubata bihilmika","وَتُؤَخِّرُ ٱلْعُقُوبَةَ بِحِلْمِكَ","","اور اپنی نرم خوئی سے سزا میں تاخیر  کرتا ہے",""
"Hence, all praise be to You, for You act tolerably although You have full knowledge","falaka alhamdu `ala hilmika ba`da `ilmika","فَلَكَ ٱلْحَمْدُ عَلَىٰ حِلْمِكَ بَعْدَ عِلْمِكَ","","پس حمد ہے تیرے لئے کہ جانتے ہوئے نرمی سے کام لیتا ہے",""
"and for Your pardon even though You have the absolute authority.","wa `ala `afwika ba`da qudratika","وَعَلَىٰ عَفْوِكَ بَعْدَ قُدْرَتِكَ","","تیری حمد ہے کہ تو توانا ہوتے ہوئے معاف کرتا ہے",""
"It is Your forbearance with me that gives me latitude and makes me dare to break Your laws.","wa yahmilunee wa yujarri'unee `ala ma`¥iyatika hilmuka `annee","وَيَحْمِلُنِي وَيُجَرِّئُنِي عَلَىٰ مَعْصِيَتِكَ حِلْمُكَ عَنِّي","","اور میرے ساتھ وہ تیری نرم روی ہے جسنے مجھے تیری نافرمانی پر آمادہ کیا ہے،",""
